"filename", "language", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"h:\Projects\vissim\bubbles\index.html", "HTML", 0, 0, 15, 0, 10, 25
"h:\Projects\vissim\bubbles\main.js", "JavaScript", 301, 0, 0, 16, 246, 563
"h:\Projects\vissim\bubbles\style.css", "CSS", 0, 5, 0, 1, 0, 6
"h:\Projects\vissim\cells\sand\index.html", "HTML", 0, 0, 12, 0, 2, 14
"h:\Projects\vissim\cells\sand\main.js", "JavaScript", 88, 0, 0, 0, 18, 106
"h:\Projects\vissim\cells\snow\index.html", "HTML", 0, 0, 12, 0, 2, 14
"h:\Projects\vissim\cells\snow\main.js", "JavaScript", 89, 0, 0, 0, 18, 107
"h:\Projects\vissim\cells\water\index.html", "HTML", 0, 0, 12, 0, 2, 14
"h:\Projects\vissim\cells\water\main.js", "JavaScript", 96, 0, 0, 0, 18, 114
"h:\Projects\vissim\dots\index.html", "HTML", 0, 0, 31, 0, 6, 37
"h:\Projects\vissim\dots\main.js", "JavaScript", 289, 0, 0, 16, 77, 382
"h:\Projects\vissim\matrix\index.html", "HTML", 0, 0, 13, 0, 0, 13
"h:\Projects\vissim\matrix\main.js", "JavaScript", 81, 0, 0, 0, 19, 100
"h:\Projects\vissim\matrix\style.css", "CSS", 0, 15, 0, 0, 3, 18
"h:\Projects\vissim\scripts\utils.js", "JavaScript", 39, 0, 0, 0, 7, 46
"h:\Projects\vissim\snow\index.html", "HTML", 0, 0, 28, 0, 5, 33
"h:\Projects\vissim\snow\main.js", "JavaScript", 108, 0, 0, 3, 26, 137
"h:\Projects\vissim\web-gl-tests\app.js", "JavaScript", 97, 0, 0, 14, 19, 130
"h:\Projects\vissim\web-gl-tests\index.html", "HTML", 0, 0, 16, 0, 0, 16
"Total", "-", 1188, 20, 139, 50, 478, 1875
